,accuracy,precision,recall,f1,roc_auc,confusion_matrix,best_params
SVM,0.914572864321608,0.9226361031518625,0.930635838150289,0.9266187050359712,0.9625198627455496,"[[224  27]
 [ 24 322]]","{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}"
Decision Tree,0.897822445561139,0.8840970350404312,0.9479768786127167,0.9149232914923291,0.9716567256983626,"[[208  43]
 [ 18 328]]","{'max_depth': 15, 'min_samples_split': 2}"
Logistic Regression,0.6716917922948074,0.7419354838709677,0.6647398843930635,0.7012195121951219,0.7019666996752874,"[[171  80]
 [116 230]]","{'C': 10, 'penalty': 'l2'}"
KNN,0.9011725293132329,0.9065155807365439,0.9248554913294798,0.9155937052932761,0.951868825276927,"[[218  33]
 [ 26 320]]","{'n_neighbors': 3, 'weights': 'distance'}"
